Country,FDI,FDI%,GDPPC%,GGNLB,GGR,GGE,IACP%,NBTTI,ODA,ODAA
AGO,878620000,9.62,-0.02,2.8,52.42,49.62,325.03,92.6,18.38,302210000
BEN ,-12763065.75,-0.5,2.75,-5.05,16.33,21.38,4.21,89.94,35.65,244770000
BFA,23219874.87,0.88,-1.03,-3.41,18.89,22.3,-0.17,91.87,15.49,179780000
BDI,11683518.19,1.34,-2.74,-6.44,18.21,24.65,25.52,81.98,14.58,93310000
CPV,34202238.38,6.34,11.97,-17.84,24.3,42.14,-2.4,99.48,217.55,94650000
CMR,159311348,1.58,0.96,0.52,15.75,15.23,1.25,97.93,24.69,377160000
CAF,889074.91,0.1,-4.53,-1.97,14.86,16.83,3.2,96.89,20.21,75900000
TCD,115172421.5,8.32,-4.45,-6.07,12.14,18.21,3.82,85.29,15.74,131330000
COM,93636.12,0.05,8.09,-1.91,14.43,16.34,5.9,63.43,35.6,19310000
COD,94190400,0.49,-9.24,-1.85,0.64,2.48,550,100.23,3.79,178440000
COG,-97897925.12,-3.04,4.6,1.18,26.67,25.49,0.5,89.7,9.97,32150000
CIV,234701641.1,2.19,-4.34,-1.15,16.65,17.8,2.53,110.55,21.03,350920000
ETH,134640000,1.63,3.05,-8.88,16.72,25.6,0.66,92.14,10.34,687800000
GAB,278061232,5.49,-4.3,11.13,31.43,20.3,0.5,90.87,9.63,11850000
GMB,43520000,5.56,2.38,-0.15,15.7,15.85,0.85,99.62,40.3,49640000
GHA,165900000,3.33,1.17,-6.06,12.18,18.24,25.11,106.95,31.72,600650000
GIN,9942000,0.33,0.7,-2.46,10.2,12.66,6.77,97.09,17.42,153410000
GNB,702270.86,0.19,3.52,-3.02,22.3,25.31,8.61,96.3,65.21,81070000
KEN,110904550.4,0.87,-2.12,-0.05,18.62,18.67,7.77,95.31,16.34,513920000
LSO,32403928.09,3.65,2.87,-0.96,36.86,37.82,6.06,100.15,19.89,37170000
LBR,20800000,3.93,21.93,-0.08,14.2,14.28,5.3,100.82,23.37,67420000
MDG,82952580.71,2.14,1.54,-2.81,15.51,18.32,10.67,90.53,20.58,324480000
MWI,25999996.36,1.49,-1.39,-5.73,12.92,18.65,29.6,100.99,39.39,448150000
MLI,60181780.68,2.04,-2.83,-2.64,16.75,19.39,-0.76,96.4,26.26,288040000
MOZ,139200000,2.77,-1.04,-1.55,19.65,21.21,12.71,97.75,50.22,907390000
NER,15728052.19,0.87,-4.93,-4.05,14.28,18.33,2.92,100.44,18.43,209210000
NGA,1140167556,2.46,2.71,4.07,28.81,24.74,6.94,87.26,1.42,173800000
RWA,8319040.47,0.48,2.53,-0.26,21.48,21.75,3.91,90.18,40.05,321460000
STP,3800000,4.19,0.07,51.46,62.25,10.8,11.01,104.91,252.08,34940000
SYC,24326996.84,3.96,0.61,-14.74,40.67,55.41,6.3,89.76,290.89,23600000
SLE,39000824.52,6.13,3.7,-3.09,13.27,16.36,-0.92,94.1,39.58,180640000
TZA,463400858.8,4.55,2.22,-0.73,11.54,12.27,5.96,98.65,31.14,1064250000
TGO,52687148.92,4.07,-3.67,-4.65,11.41,16.05,1.86,37.71,14.01,69630000
UGA,160700000,2.59,-0.15,-0.81,18.95,19.76,3.38,92.01,35.61,855930000
ZMB,121700000,3.38,1.02,1.16,22.57,21.41,26.1,94.26,75.46,794650000
